text,text_cleaned,tweet_lemmatized,tokens,filtered_tokens
Red Bull team boss Christian Horner says Adrian Newey’s exit from the team does not allow Max Verstappen to get out of his contract.  #F1 #RedBull #MiamiGP  https://t.co/UBp4sdin4h,red bull team boss christian horner says adrian neweys exit from the team does not allow max verstappen to get out of his contract,red bull team boss christian horner say adrian neweys exit from the team do not allow max verstappen to get out of his contract,"['red', 'bull', 'team', 'boss', 'christian', 'horner', 'say', 'adrian', 'neweys', 'exit', 'from', 'the', 'team', 'do', 'not', 'allow', 'max', 'verstappen', 'to', 'get', 'out', 'of', 'his', 'contract']","['red', 'bull', 'team', 'boss', 'christian', 'horner', 'say', 'adrian', 'neweys', 'exit', 'team', 'allow', 'max', 'verstappen', 'get', 'contract']"
"Surprisingly, Red Bull allowed Adrian Newey to get out of his contract early, without having to serve a period of ‘gardening leave’. Team boss Christian Horner reveals why.  #F1 #RedBull #MiamiGP https://t.co/2gJTQZeULN",surprisingly red bull allowed adrian newey to get out of his contract early without having to serve a period of gardening leave team boss christian horner reveals why,surprisingly red bull allow adrian newey to get out of his contract early without have to serve a period of gardening leave team boss christian horner reveal why,"['surprisingly', 'red', 'bull', 'allow', 'adrian', 'newey', 'to', 'get', 'out', 'of', 'his', 'contract', 'early', 'without', 'have', 'to', 'serve', 'a', 'period', 'of', 'gardening', 'leave', 'team', 'boss', 'christian', 'horner', 'reveal', 'why']","['surprisingly', 'red', 'bull', 'allow', 'adrian', 'newey', 'get', 'contract', 'early', 'without', 'serve', 'period', 'gardening', 'leave', 'team', 'boss', 'christian', 'horner', 'reveal']"
"Christian Horner says Adrian Newey is “not leaving the company, but stepping aside from Formula 1”, and “it’s been something that we’ve been having to plan for”.  #F1 #RedBull #MiamiGP https://t.co/QFMBmrJhrz",christian horner says adrian newey is not leaving the company but stepping aside from formula 1 and its been something that weve been having to plan for,christian horner say adrian newey be not leave the company but step aside from formula 1 and its be something that we ve be have to plan for,"['christian', 'horner', 'say', 'adrian', 'newey', 'be', 'not', 'leave', 'the', 'company', 'but', 'step', 'aside', 'from', 'formula', '1', 'and', 'its', 'be', 'something', 'that', 'we', 've', 'be', 'have', 'to', 'plan', 'for']","['christian', 'horner', 'say', 'adrian', 'newey', 'leave', 'company', 'step', 'aside', 'formula', '1', 'something', 'plan']"
Red Bull team principal Christian Horner emphasizes that Adrian Newey's departure is not driven by internal tensions. Maintaining a united front amid speculations is crucial for the team's ongoing success. #RedBull #F1   https://t.co/KnpEBX8lZ1,red bull team principal christian horner emphasizes that adrian neweys departure is not driven by internal tensions maintaining a united front amid speculations is crucial for the teams ongoing success,red bull team principal christian horner emphasize that adrian newey departure be not drive by internal tension maintain a united front amid speculation be crucial for the team ongoing success,"['red', 'bull', 'team', 'principal', 'christian', 'horner', 'emphasize', 'that', 'adrian', 'newey', 'departure', 'be', 'not', 'drive', 'by', 'internal', 'tension', 'maintain', 'a', 'united', 'front', 'amid', 'speculation', 'be', 'crucial', 'for', 'the', 'team', 'ongoing', 'success']","['red', 'bull', 'team', 'principal', 'christian', 'horner', 'emphasize', 'adrian', 'newey', 'departure', 'drive', 'internal', 'tension', 'maintain', 'united', 'front', 'amid', 'speculation', 'crucial', 'team', 'ongoing', 'success']"
"Well…Helmut Marko certainly has a difference of opinion to Christian Horner and many others, in regard to how important Adrian Newey was to the team.  #F1 #AdrianNewey #RedBull #MiamiGP https://t.co/0W4Cy6MrMW",wellhelmut marko certainly has a difference of opinion to christian horner and many others in regard to how important adrian newey was to the team,wellhelmut marko certainly have a difference of opinion to christian horner and many other in regard to how important adrian newey be to the team,"['wellhelmut', 'marko', 'certainly', 'have', 'a', 'difference', 'of', 'opinion', 'to', 'christian', 'horner', 'and', 'many', 'other', 'in', 'regard', 'to', 'how', 'important', 'adrian', 'newey', 'be', 'to', 'the', 'team']","['wellhelmut', 'marko', 'certainly', 'difference', 'opinion', 'christian', 'horner', 'many', 'regard', 'important', 'adrian', 'newey', 'team']"
"Jos Verstappen warned that Red Bull would ""explode"" if Christian Horner kept clinging to power.  And Horner has paid tribute to Adrian Newey after the F1 design legend announced he is heading for the exit.  #F1 #RedBull #AdrianNewey  https://t.co/9f2s4HJdDU",jos verstappen warned that red bull would explode if christian horner kept clinging to power  and horner has paid tribute to adrian newey after the f1 design legend announced he is heading for the exit,jos verstappen warn that red bull would explode if christian horner keep cling to power   and horner have pay tribute to adrian newey after the f1 design legend announce he be head for the exit,"['jos', 'verstappen', 'warn', 'that', 'red', 'bull', 'would', 'explode', 'if', 'christian', 'horner', 'keep', 'cling', 'to', 'power', 'and', 'horner', 'have', 'pay', 'tribute', 'to', 'adrian', 'newey', 'after', 'the', 'f1', 'design', 'legend', 'announce', 'he', 'be', 'head', 'for', 'the', 'exit']","['jos', 'verstappen', 'warn', 'red', 'bull', 'would', 'explode', 'christian', 'horner', 'keep', 'cling', 'power', 'horner', 'pay', 'tribute', 'adrian', 'newey', 'f1', 'design', 'legend', 'announce', 'head', 'exit']"
"""I just don't think it's true. I don't buy it one bit.""  Christian Horner's claims that Red Bull are no longer ""reliant"" on Adrian Newey have been called into question.  #F1 #RedBull #AdrianNewey  https://t.co/ESQbnum1mN",i just dont think its true i dont buy it one bit  christian horners claims that red bull are no longer reliant on adrian newey have been called into question,I just do not think its true I do not buy it one bit   christian horner claim that red bull be no long reliant on adrian newey have be call into question,"['I', 'just', 'do', 'not', 'think', 'its', 'true', 'I', 'do', 'not', 'buy', 'it', 'one', 'bit', 'christian', 'horner', 'claim', 'that', 'red', 'bull', 'be', 'no', 'long', 'reliant', 'on', 'adrian', 'newey', 'have', 'be', 'call', 'into', 'question']","['I', 'think', 'true', 'I', 'buy', 'one', 'bit', 'christian', 'horner', 'claim', 'red', 'bull', 'long', 'reliant', 'adrian', 'newey', 'call', 'question']"
Christian Horner confirms the departure of Adrian Newey for 2025  But who will win the Miami Grand Prix?  Read our insights and get your free picks   #F1 #Formula1 #RedBull #MiamiGP #MiamiGrandPrix  https://t.co/39MnA80P6v,christian horner confirms the departure of adrian newey for 2025  but who will win the miami grand prix  read our insights and get your free picks,christian horner confirm the departure of adrian newey for 2025   but who will win the miami grand prix   read our insight and get your free pick,"['christian', 'horner', 'confirm', 'the', 'departure', 'of', 'adrian', 'newey', 'for', '2025', 'but', 'who', 'will', 'win', 'the', 'miami', 'grand', 'prix', 'read', 'our', 'insight', 'and', 'get', 'your', 'free', 'pick']","['christian', 'horner', 'confirm', 'departure', 'adrian', 'newey', '2025', 'win', 'miami', 'grand', 'prix', 'read', 'insight', 'get', 'free', 'pick']"
Christian Horner confirms the departure of Adrian Newey for 2025  But who will win the Miami Grand Prix?  Read our insights and get your free picks   #F1 #Formula1 #RedBull #MiamiGP #MiamiGrandPrix  https://t.co/ZsuTm6aT5J,christian horner confirms the departure of adrian newey for 2025  but who will win the miami grand prix  read our insights and get your free picks,christian horner confirm the departure of adrian newey for 2025   but who will win the miami grand prix   read our insight and get your free pick,"['christian', 'horner', 'confirm', 'the', 'departure', 'of', 'adrian', 'newey', 'for', '2025', 'but', 'who', 'will', 'win', 'the', 'miami', 'grand', 'prix', 'read', 'our', 'insight', 'and', 'get', 'your', 'free', 'pick']","['christian', 'horner', 'confirm', 'departure', 'adrian', 'newey', '2025', 'win', 'miami', 'grand', 'prix', 'read', 'insight', 'get', 'free', 'pick']"
Adrian Newey will leave Red Bull in early 2025. Here’s what team boss Christian Horner had to say about his departure.  #F1 #RedBull #MiamiGP  https://t.co/7onA3iwVN7,adrian newey will leave red bull in early 2025 heres what team boss christian horner had to say about his departure,adrian newey will leave red bull in early 2025 here what team boss christian horner have to say about his departure,"['adrian', 'newey', 'will', 'leave', 'red', 'bull', 'in', 'early', '2025', 'here', 'what', 'team', 'boss', 'christian', 'horner', 'have', 'to', 'say', 'about', 'his', 'departure']","['adrian', 'newey', 'leave', 'red', 'bull', 'early', '2025', 'team', 'boss', 'christian', 'horner', 'say', 'departure']"
